,Scientific name,Common name,Class,WA listing,National listing,Kimberley,Pilbara,Goldfields,Midwest,Wheatbelt,South Coast,Swan,South West,Warren,WA listing.1,Notes
522,Stipiturus malachurus hartogi,Dirk Hartog Island emu-wren,BIRD,VU,,,,,X,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
523,Stygiocaris lancifera,lance-beaked cave shrimp,INVERTEBRATE,VU,,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
524,Stygiocaris stylifera,spear-beaked cave shrimp,INVERTEBRATE,P4,,,X,,,,,,,,DBCA Priority species.,
525,Stygiochiropus isolatus,a stygiochiropus millipede (Cape Range),INVERTEBRATE,VU,,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
526,Stygiochiropus peculiaris,Cameron's Cave millipede,INVERTEBRATE,CR,,,X,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
527,Stygiochiropus sympatricus,a stygiochiropus millipede (Cape Range),INVERTEBRATE,VU,,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
528,Stygocyclopia australis,a copepod (Bundera Sinkhole),INVERTEBRATE,CR,,,X,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
529,Sula dactylatra,masked booby,BIRD,MI,MI,X,X,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
530,Sula leucogaster,brown booby,BIRD,MI,MI,X,X,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
531,Sula sula,red-footed booby,BIRD,MI,MI,X,,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
532,Syncomistes rastellus,Drysdale grunter,FISH,P2,,X,,,,,,,,,DBCA Priority species.,
533,Synemon gratiosa,graceful sunmoth,INVERTEBRATE,P4,,,,,X,,,X,,,DBCA Priority species.,
534,Tartarus mullamullangensis,Mullamullang Cave spider,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
535,Tartarus murdochensis,Murdoch Sink cave spider,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
536,Tartarus nurinensis,Nurina Cave spider,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
537,Tartarus thampannensis,Thampanna Cave spider,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
538,Teyl sp. (MYG693),Minnivale trapdoor spider,INVERTEBRATE,CR,,,,,X,X,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,"30/09/2022 Museum specimen reference number changed from (BY Main 1953/2683, 1984/13) to (MYG693)."
539,Thalassarche carteri,Indian yellow-nosed albatross,BIRD,EN,VU & MI,,,,X,,X,X,X,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,"30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. Second scientific name, Thalassarche chlororhynchos carteri, removed from Order."
540,Thalassarche cauta cauta,shy albatross,BIRD,VU,EN & MI,,,,X,,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. 
541,Thalassarche cauta steadi,white-capped albatross,BIRD,VU,VU & MI,,,,X,,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. 
542,Thalassarche chlororhynchos,Atlantic yellow-nosed albatross,BIRD,VU,MI,,X,,X,,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. 
543,Thalassarche chrysostoma,grey-headed albatross,BIRD,VU,EN & MI,,,,X,,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. 
544,Thalassarche impavida,Campbell albatross,BIRD,VU,VU & MI,,X,,X,,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. 
545,Thalassarche melanophris,black-browed albatross,BIRD,EN,VU & MI,,,,X,,X,X,X,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. 
546,Thalassarche salvini,Salvin's albatross,BIRD,VU,VU & MI,,,,,,X,,,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. 
547,Thalasseus bergii,crested tern,BIRD,MI,MI,X,X,,X,X,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
548,Thinornis cucullatus,"hooded plover, hooded dotterel",BIRD,P4,,,,X,X,X,X,X,X,X,DBCA Priority species.,13/06/2022 Species name changed from Thinornis rubricollis to Thinornis cucullatus following the WA Musuem and the Australian Faunal Directory. 
549,Throscodectes xederoides,"Mogumber bush cricket, Northern Throsco",INVERTEBRATE,P3,,,,,X,X,,X,,,DBCA Priority species.,
550,Throscodectes xiphos,"stylet bush cricket, stylet Throsco (Jandakot)",INVERTEBRATE,P1,,,,,,,,X,,,DBCA Priority species.,
551,Tiliqua rugosa konowi,Rottnest Island bobtail,REPTILE,VU,,,,,,,,X,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
552,Torresitrachia thedana,Theda Station camaenid land snail,INVERTEBRATE,P1,,X,,,,,,,,,DBCA Priority species.,
553,Trichosternus relictus,a ground beetle (Margaret River),INVERTEBRATE,P3,,,,,,,,,X,,DBCA Priority species.,
554,Trichosurus vulpecula arnhemensis,northern brushtail possum (Kimberley),MAMMAL,VU,VU,X,,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,30/09/2022 Regional location removed from after scientific name on Order. 
555,Tringa brevipes,grey-tailed tattler,BIRD,MI & P4,MI,X,X,X,X,,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016 and a DBCA Priority species.,
556,Tringa glareola,wood sandpiper,BIRD,MI,MI,X,X,X,X,X,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
557,Tringa nebularia,common greenshank,BIRD,MI,MI,X,X,X,X,X,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Second common name removed. 
558,Tringa stagnatilis,marsh sandpiper,BIRD,MI,MI,X,X,X,X,X,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Second common name removed. 
559,Tringa totanus,common redshank,BIRD,MI,MI,X,X,,X,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Second common name removed. 
560,Trioza barrettae,Banksia brownii plant-louse,INVERTEBRATE,EN,EN,,,,,,X,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
561,Troglodiplura lowryi,Nullarbor cave trapdoor spider,INVERTEBRATE,VU,,,,X,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
562,Turgenitubulus christenseni,Christensen's camaenid land snail (central Ningbing Ranges),INVERTEBRATE,EN,,X,,,,,,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
563,Turgenitubulus costus,a camaenid land snail (Ningbing Ranges),INVERTEBRATE,CR,,X,,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
564,Turgenitubulus depressus,a camaenid land snail (central Ningbing Ranges),INVERTEBRATE,CR,,X,,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
565,Turgenitubulus foramenus,a camaenid land snail (central Ningbing Ranges),INVERTEBRATE,CR,,X,,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
566,Turgenitubulus opiranus,Opir Hill camaenid land snail (central Ningbing Ranges),INVERTEBRATE,CR,,X,,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
567,Turgenitubulus pagodula,"Pagoda camaenid land snail (The Gorge, central Ningbing Ranges)",INVERTEBRATE,VU,,X,,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
568,Turgenitubulus tanmurrana,Tanmurra camaenid land snail (central Ningbing Ranges),INVERTEBRATE,CR,,X,,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
569,Turnix varius scintillans,Abrolhos painted button-quail,BIRD,EN,VU,,,,X,,,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
570,Tursiops aduncus,"Indian Ocean bottlenose dolphin, Indo-Pacific bottlenose dolphin",MAMMAL,MI,MI,X,X,,X,,,X,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. 
571,Tyrannochthonius sp. 'Mesa A' (WAM T81480),a Tyrannochtonius pseudoscorpion (Mesa A),INVERTEBRATE,P1,,,X,,,,,,,,DBCA Priority species.,
572,Tyto novaehollandiae kimberli,masked owl (northern),BIRD,P1,VU,X,,,,,,,,,DBCA Priority species.,
573,Tyto novaehollandiae novaehollandiae,masked owl (southwest),BIRD,P3,,,,X,X,X,X,X,X,X,DBCA Priority species.,
574,Underwoodisaurus seorsus,Pilbara barking gecko,REPTILE,P2,,,X,,,,,,,,DBCA Priority species.,
575,Uperoleia marmorata,marbled toadlet (Kimberley),AMPHIBIAN,P1,,X,,,,,,,,,DBCA Priority species.,
576,Uperoleia minima,small toadlet (Mitchell Plateau),AMPHIBIAN,P3,,X,,,,,,,,,DBCA Priority species.,
577,Varanus sparnus,Dampier Peninsula goanna,REPTILE,P1,,X,,,,,,,,,DBCA Priority species.,
578,Vespadelus douglasorum,yellow-lipped cave bat,MAMMAL,P2,,X,,,,,,,,,DBCA Priority species.,
579,Welesina kornickeri,Kornicker's Bundera Sinkhole ostracod,INVERTEBRATE,CR,,,X,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
580,Westraltrachia alterna,a camaenid land snail (McSherry Gap and Cyclad Hill),INVERTEBRATE,VU,,X,,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
581,Westraltrachia inopinata,a camaenid land snail (Yammera Gap),INVERTEBRATE,VU,,X,,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
582,Westraltrachia lievreana,Le Lievre Ridge camaenid land snail,INVERTEBRATE,P2,,X,,,,,,,,,DBCA Priority species.,
583,Westraltrachia recta,a camaenid land snail (Limestone Billy Hills),INVERTEBRATE,P1,,X,,,,,,,,,DBCA Priority species.,
584,Westraltrachia subtila,a camaenid land snail (Ninety Seven Mile Creek),INVERTEBRATE,P2,,X,,,,,,,,,DBCA Priority species.,
585,Westraltrachia turbinata,a camaenid land snail (Yammera Gap),INVERTEBRATE,VU,,X,,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
586,Westralunio carteri,Carter's freshwater mussel,INVERTEBRATE,VU,VU,,,,,X,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
587,Windbalea viride,green west wind katydid (Albany-Cape Riche),INVERTEBRATE,P1,,,,,,,X,,,,DBCA Priority species.,
588,Wyulda squamicaudata,scaly-tailed possum,MAMMAL,P4,,X,,,,,,,,,DBCA Priority species.,
589,Xenus cinereus,Terek sandpiper,BIRD,MI,MI,X,X,,X,,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
590,Zephyrarchaea barrettae,Talyuberlup assassin spider,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
591,Zephyrarchaea mainae,Main's assassin spider,INVERTEBRATE,VU,,,,,,,X,,,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
592,Zephyrarchaea marki,Cape Le Grand assassin spider,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
593,Zephyrarchaea melindae,Toolbrunup assassin spider,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
594,Zephyrarchaea robinsi,eastern massif assassin spider,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
595,Zyzomys pedunculatus,"central rock-rat, antina",MAMMAL,CR,CR,,X,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
